"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.249122917E0,-9.910890198E-1,3.613485718E0,7.928412781E0,8.769222639E0
1.259143917E0,-9.732760620E-1,3.745211792E0,7.716752930E0,8.632621470E0
1.269165917E0,-9.618997192E-1,3.744163971E0,7.656578064E0,8.577132537E0
1.279187917E0,-9.376501465E-1,3.736829224E0,7.751630402E0,8.656260990E0
1.289208917E0,-8.945397949E-1,3.802692261E0,7.908953247E0,8.821123020E0
1.299230917E0,-8.318202209E-1,3.867657166E0,8.003855896E0,8.928180444E0
1.309251917E0,-8.135581970E-1,3.845203857E0,8.056097260E0,8.963714225E0
1.319273917E0,-8.081694031E-1,3.773802338E0,8.046816559E0,8.924459569E0
1.329294917E0,-7.711962891E-1,3.809128876E0,8.027955780E0,8.919208514E0
1.339316917E0,-6.725514221E-1,3.923790436E0,8.023914185E0,8.957212493E0
1.349337917E0,-6.480024719E-1,3.965254211E0,8.069269867E0,9.014225666E0
1.359359917E0,-7.125183105E-1,3.970643005E0,8.270301819E0,9.201716166E0
1.369381917E0,-7.605683899E-1,4.026776276E0,8.435258789E0,9.378005240E0
1.379402917E0,-7.738906860E-1,4.093986511E0,8.521928558E0,9.485931620E0
1.389424917E0,-7.752378845E-1,4.000431061E0,8.672814789E0,9.582387949E0
1.399445917E0,-7.476951599E-1,3.814068604E0,8.928932190E0,9.738172180E0
1.409467917E0,-6.677613831E-1,3.690575409E0,9.145831146E0,9.884962290E0
1.419488917E0,-6.077362061E-1,3.560944977E0,9.387279053E0,1.005836371E1
1.429510917E0,-5.920188904E-1,3.546724548E0,9.582772522E0,1.023519763E1
1.439532917E0,-6.007008362E-1,3.723656616E0,9.653874664E0,1.036454322E1
1.449553917E0,-5.848338318E-1,3.871998138E0,9.663305054E0,1.042659411E1
1.459575917E0,-5.620811462E-1,3.960763550E0,9.586365051E0,1.038758769E1
1.469596917E0,-5.044509888E-1,3.993994446E0,9.455088043E0,1.027643675E1
1.479618917E0,-4.715194702E-1,4.048780518E0,9.368717651E0,1.021703600E1
1.489639917E0,-4.824467468E-1,4.068838806E0,9.302704926E0,1.016506385E1
1.499661917E0,-5.831872559E-1,4.165238342E0,9.321865082E0,1.022675346E1
1.509682917E0,-6.680607605E-1,4.356989594E0,9.316027222E0,1.030621301E1
1.519704917E0,-7.285350037E-1,4.512216797E0,9.280251617E0,1.034475392E1
1.529726917E0,-7.524851990E-1,4.574038239E0,9.238189087E0,1.033596620E1
1.539747917E0,-7.370672607E-1,4.581522675E0,9.186396790E0,1.029191450E1
1.549769917E0,-5.827381897E-1,4.780458984E0,9.125922546E0,1.031866436E1
1.559790917E0,-5.120851135E-1,4.759053497E0,9.198222198E0,1.036909412E1
1.569812917E0,-4.540058899E-1,4.674329681E0,9.224268036E0,1.035097097E1
1.579833917E0,-4.162843323E-1,4.567451935E0,9.291178894E0,1.036151123E1
1.589855917E0,-4.019142151E-1,4.290827179E0,9.363927612E0,1.030804895E1
1.599876917E0,-4.101470947E-1,4.015699310E0,9.637708282E0,1.044889863E1
1.609898917E0,-3.975732422E-1,3.806883545E0,1.010803024E1,1.080845513E1
1.619919917E0,-3.245251465E-1,3.650309143E0,1.051757858E1,1.113775259E1
1.629941917E0,-1.785786438E-1,3.523223419E0,1.064705933E1,1.121627683E1
1.639963917E0,-1.318757629E-1,3.225791931E0,1.046384033E1,1.095057438E1
1.649984917E0,-2.112107849E-1,2.965034180E0,1.027822632E1,1.069943802E1
1.660006917E0,-3.730242920E-1,2.781066742E0,1.034783157E1,1.072152497E1
1.670027917E0,-5.321434021E-1,2.838098145E0,1.061936691E1,1.100495031E1
1.680049917E0,-8.155041504E-1,2.931952972E0,1.106888214E1,1.147961441E1
1.690070917E0,-1.119671631E0,2.910397797E0,1.146196472E1,1.187858220E1
1.700092917E0,-1.231638794E0,2.685715027E0,1.191088120E1,1.227188210E1
1.710113917E0,-1.120869141E0,2.404449921E0,1.219603821E1,1.248122891E1
1.720135917E0,-9.291178894E-1,2.194885712E0,1.214858688E1,1.238018363E1
1.730157917E0,-6.390211487E-1,2.139500885E0,1.168694687E1,1.189834187E1
1.740178917E0,-3.567082214E-1,2.219135284E0,1.079854431E1,1.102997559E1
1.750200958E0,-1.627116394E-1,2.313289490E0,9.642498322E0,9.917437029E0
1.760221958E0,5.822891235E-2,2.490520935E0,8.530311127E0,8.886635643E0
1.770243958E0,2.628533936E-1,2.695744171E0,7.648943939E0,8.114337430E0
